field	storerepr	sp	valuerepr_tag	outside_stack_arena	code	residual_relation
hEq	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	N/A
hFn	UNKNOWN	VALID(consistency-unproved)	VALID(consistency-unproved)	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	N/A
hIAdd	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN
hIDiv	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN
hIGe	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN
hIGt	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN
hILe	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN
hILt	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN
hIMod	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN
hIMul	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN(summary-clause:loop_2147496412)	UNKNOWN
