query	field	name	point	guard	state	predicate
hIGe	hIGe	binop-token	entry	true	s0	(= (ld4 (mm s0) (bvadd (select (rr s0) #x000000000000000c) #x0000000000000008)) #x0000000000000017)
hIGe	hIGe	left-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000078)) #x0000000000000002)
hIGe	hIGe	right-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000090)) #x0000000000000002)
hEq	hEq	binop-token	entry	true	s0	(= (ld4 (mm s0) (bvadd (select (rr s0) #x000000000000000c) #x0000000000000008)) #x0000000000000013)
hNe	hNe	binop-token	entry	true	s0	(= (ld4 (mm s0) (bvadd (select (rr s0) #x000000000000000c) #x0000000000000008)) #x0000000000000011)
hStrAddL	hStrAddL	binop-token	entry	true	s0	(= (ld4 (mm s0) (bvadd (select (rr s0) #x000000000000000c) #x0000000000000008)) #x000000000000000b)
hStrAddL	hStrAddL	left-str	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000078)) #x0000000000000003)
hStrAddR	hStrAddR	binop-token	entry	true	s0	(= (ld4 (mm s0) (bvadd (select (rr s0) #x000000000000000c) #x0000000000000008)) #x000000000000000b)
hStrAddR	hStrAddR	right-str	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000090)) #x0000000000000003)
hStrAddR	hStrAddR	left-not-str	0x8000351c	g382	m382	(not (= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000078)) #x0000000000000003))
hStrGe	hStrGe	binop-token	entry	true	s0	(= (ld4 (mm s0) (bvadd (select (rr s0) #x000000000000000c) #x0000000000000008)) #x0000000000000017)
hStrGe	hStrGe	left-str	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000078)) #x0000000000000003)
hStrGe	hStrGe	right-str	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000090)) #x0000000000000003)
hStrGt	hStrGt	binop-token	entry	true	s0	(= (ld4 (mm s0) (bvadd (select (rr s0) #x000000000000000c) #x0000000000000008)) #x0000000000000016)
hStrGt	hStrGt	left-str	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000078)) #x0000000000000003)
hStrGt	hStrGt	right-str	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000090)) #x0000000000000003)
hStrLe	hStrLe	binop-token	entry	true	s0	(= (ld4 (mm s0) (bvadd (select (rr s0) #x000000000000000c) #x0000000000000008)) #x0000000000000015)
hStrLe	hStrLe	left-str	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000078)) #x0000000000000003)
hStrLe	hStrLe	right-str	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000090)) #x0000000000000003)
hStrLt	hStrLt	binop-token	entry	true	s0	(= (ld4 (mm s0) (bvadd (select (rr s0) #x000000000000000c) #x0000000000000008)) #x0000000000000014)
hStrLt	hStrLt	left-str	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000078)) #x0000000000000003)
hStrLt	hStrLt	right-str	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000090)) #x0000000000000003)
hDivOv	hDivOv	binop-token	entry	true	s0	(= (ld4 (mm s0) (bvadd (select (rr s0) #x000000000000000c) #x0000000000000008)) #x000000000000000e)
hDivOv	hDivOv	left-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000078)) #x0000000000000002)
hDivOv	hDivOv	right-int	0x8000351c	g382	m382	(= (ld4 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000090)) #x0000000000000002)
hDivOv	hDivOv	min-dividend	0x8000351c	g382	m382	(= (ld8 (mm m382) (bvadd (select (rr m382) #x0000000000000002) #x0000000000000080)) #x8000000000000000)
