field	z3_verdict	coverage
hOrFalse	REFUTED	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.Sim.Code.Value_truthyLoaded, Vsa.RuntimeRepr.ValueRepr, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hOrTrue	REFUTED	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.Sim.Code.Value_truthyLoaded, Vsa.RuntimeRepr.ValueRepr, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hSBlock	REFUTED	gap×2
hSBrk	UNKNOWN	recfun:[Vsa.Sim.Code.Exec_stmtLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.MemRepr.StmtRepr, Vsa.RuntimeRepr.StoreRepr]
hSCont	UNKNOWN	recfun:[Vsa.Sim.Code.Exec_stmtLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.MemRepr.StmtRepr, Vsa.RuntimeRepr.StoreRepr]
hSExpr	REFUTED	gap×1
hSForStart	UNKNOWN	gap×3
hSIfFalse	UNKNOWN	gap×1
hSIfNone	UNKNOWN	gap×1
hSIfTrue	UNKNOWN	gap×1
hSRet	REFUTED	gap×1
hSRetNull	REFUTED	gap×1
hSVarInit	REFUTED	gap×1
hSVarNull	REFUTED	gap×1
hSWhileBreak	UNKNOWN	gap×2
hSWhileFalse	UNKNOWN	gap×1
hSeqConsAbrupt	REFUTED	gap×1
hSeqConsNormal	REFUTED	gap×2
hSeqNil	REFUTED	gap×1
hStr	UNKNOWN	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hStrAddL	REFUTED	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hStrAddR	REFUTED	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hStrGe	REFUTED	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hStrGt	REFUTED	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hStrLe	REFUTED	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hStrLt	REFUTED	recfun:[Vsa.Sim.InterpCodeLoaded, Vsa.Sim.Code.Value_intLoaded, Vsa.Sim.Code.Value_boolLoaded, Vsa.Sim.Code.Value_nullLoaded, Vsa.Sim.GoodState, Vsa.RuntimeRepr.OutRepr, Vsa.Sim.Code.Value_strLoaded, Vsa.MemRepr.ExprRepr, Vsa.RuntimeRepr.StoreRepr]
hVar	REFUTED	gap×1
