file	lines	omega	decide	bv_decide	simp	norm_num	decision_total
Vsa/Sim/SnprintfSpec42.lean	420	115	9	0	5	0	124
Vsa/Sim/SnprintfSpec26.lean	526	94	28	0	33	0	122
Vsa/Sim/SnprintfSpec32.lean	460	25	96	0	4	0	121
Vsa/Sim/MemStore.lean	2024	22	98	0	241	0	120
Vsa/Sim/SnprintfSpec54.lean	404	111	9	0	3	0	120
Vsa/Sim/SnprintfSpec2.lean	429	5	114	0	3	0	119
Vsa/Sim/EvalSubChain.lean	707	27	91	0	0	0	118
Vsa/Sim/SnprintfSitesPro4.lean	331	0	115	0	0	0	115
Vsa/Sim/ValueEqualSites3.lean	377	0	114	0	0	0	114
Vsa/Sim/EvalMulChain.lean	688	27	84	0	0	0	111
Vsa/Sim/MemcpySites3.lean	345	0	111	0	0	0	111
Vsa/Sim/MulTailSites.lean	284	0	111	0	0	0	111
Vsa/Sim/SnprintfSitesFast2.lean	292	0	110	0	0	0	110
Vsa/Sim/EvalIntSim4.lean	260	11	97	0	0	0	108
Vsa/Sim/DivSpec2.lean	202	0	107	0	0	0	107
Vsa/Sim/EvalAndChain.lean	656	51	54	0	0	0	105
Vsa/Sim/EvalRecCommon.lean	514	36	68	0	1	0	104
Vsa/Sim/SnprintfSpec33.lean	384	20	83	0	1	0	103
Vsa/Sim/ExecBlock.lean	450	21	81	0	2	0	102
Vsa/Sim/DivSites2.lean	417	0	101	0	3	0	101
Vsa/Sim/ValueEqualSpec4.lean	365	6	95	0	0	0	101
Vsa/Sim/EvalNullSim.lean	396	21	79	0	8	0	100
Vsa/Sim/SnprintfSitesRet5.lean	407	1	91	0	6	0	92
Vsa/Sim/BlockTerm.lean	1075	11	77	0	0	0	88
Vsa/Sim/EnvDefSpec15.lean	77	0	87	0	0	0	87
Vsa/Sim/SnprintfProCommon.lean	333	82	3	0	16	0	85
Vsa/Sim/ErrorTail.lean	487	2	82	0	18	0	84
Vsa/Sim/TermEntry.lean	537	2	82	0	18	0	84
Vsa/Sim/SnprintfSitesRet4.lean	265	0	82	0	0	0	82
Vsa/Sim/DivTailSites.lean	216	0	81	0	0	0	81
Vsa/Sim/ModTailSites.lean	216	0	81	0	0	0	81
Vsa/Sim/Regions.lean	548	78	2	0	70	0	80
Vsa/Sim/DivLoops.lean	560	29	50	0	23	0	79
Vsa/Sim/FrameOn.lean	412	78	0	0	19	0	78
Vsa/Sim/MemLoad.lean	1084	22	54	0	109	0	76
Vsa/Sim/SnprintfSpec41.lean	308	30	44	0	1	0	74
Vsa/Sim/EvalOrChain.lean	386	50	23	0	0	0	73
Vsa/Sim/SnprintfSitesRet2.lean	225	0	71	0	0	0	71
Vsa/Sim/DecodeTable/Batch01Part01.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part02.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part03.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part04.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part05.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part06.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part07.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part08.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part09.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part10.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part11.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part12.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part13.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part14.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part15.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part16.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part17.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part18.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part19.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part20.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part21.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part22.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part23.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part24.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part25.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part26.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part27.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part28.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part29.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part30.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part31.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch01Part32.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part01.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part02.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part03.lean	484	16	48	0	48	0	64
Vsa/Sim/DecodeTable/Batch02Part04.lean	484	16	48	0	48	0	64
